rows,cols,vehicles,hub_ratio,variance,method,iteration,best_fitness
8,8,20,9.0,0.1,ga,5,208557.7481
8,8,20,9.0,0.1,ga,6,208557.7481
8,8,20,9.0,0.1,ga,7,208557.7481
8,8,20,9.0,0.1,ga,8,208519.8367
8,8,20,9.0,0.1,ga,9,208519.8367
8,8,20,9.0,0.1,ga,10,208519.8367
8,8,20,9.0,0.1,ga,11,208519.8367
8,8,20,9.0,0.1,ga,12,208519.8367
8,8,20,9.0,0.1,ga,13,208519.8367
8,8,20,9.0,0.1,ga,14,208519.8367
8,8,20,9.0,0.1,ga,15,208489.2727
8,8,20,9.0,0.1,ga,16,208476.7988
8,8,20,9.0,0.1,ga,17,208476.7988
8,8,20,9.0,0.1,ga,18,208476.7988
8,8,20,9.0,0.1,ga,19,208476.7988
8,8,20,9.0,0.1,ga,20,208476.7988
8,8,20,9.0,0.5,qpso,0,321219.4091
8,8,20,9.0,0.5,qpso,1,321219.4091
8,8,20,9.0,0.5,qpso,2,321219.4091
8,8,20,9.0,0.5,qpso,3,321219.4091
8,8,20,9.0,0.5,qpso,4,321219.4091
8,8,20,9.0,0.5,qpso,5,321219.4091
8,8,20,9.0,0.5,qpso,6,321219.4091
8,8,20,9.0,0.5,qpso,7,321219.4091
8,8,20,9.0,0.5,qpso,8,321219.4091
8,8,20,9.0,0.5,qpso,9,321219.4091
8,8,20,9.0,0.5,qpso,10,321219.4091
8,8,20,9.0,0.5,qpso,11,321219.4091
8,8,20,9.0,0.5,qpso,12,321219.4091
8,8,20,9.0,0.5,qpso,13,321219.4091
8,8,20,9.0,0.5,qpso,14,321219.4091
8,8,20,9.0,0.5,qpso,15,321219.4091
8,8,20,9.0,0.5,qpso,16,321219.4091
8,8,20,9.0,0.5,qpso,17,321219.4091
8,8,20,9.0,0.5,qpso,18,320945.6117
8,8,20,9.0,0.5,qpso,19,320728.3177
8,8,20,9.0,0.5,qpso,20,320728.3177
8,8,20,9.0,0.5,pso,0,321219.4091
8,8,20,9.0,0.5,pso,1,321219.4091
8,8,20,9.0,0.5,pso,2,321219.4091
8,8,20,9.0,0.5,pso,3,321219.4091
8,8,20,9.0,0.5,pso,4,321219.4091
8,8,20,9.0,0.5,pso,5,321219.4091
8,8,20,9.0,0.5,pso,6,321219.4091
8,8,20,9.0,0.5,pso,7,321219.4091
8,8,20,9.0,0.5,pso,8,321219.4091
8,8,20,9.0,0.5,pso,9,321219.4091
8,8,20,9.0,0.5,pso,10,321219.4091
8,8,20,9.0,0.5,pso,11,321219.4091
8,8,20,9.0,0.5,pso,12,321219.4091
8,8,20,9.0,0.5,pso,13,321219.4091
8,8,20,9.0,0.5,pso,14,321219.4091
8,8,20,9.0,0.5,pso,15,321219.4091
8,8,20,9.0,0.5,pso,16,321219.4091
8,8,20,9.0,0.5,pso,17,321219.4091
8,8,20,9.0,0.5,pso,18,321219.4091
8,8,20,9.0,0.5,pso,19,321219.4091
8,8,20,9.0,0.5,pso,20,321219.4091
8,8,20,9.0,0.5,ga,0,321219.4091
8,8,20,9.0,0.5,ga,1,321219.4091
8,8,20,9.0,0.5,ga,2,321219.4091
8,8,20,9.0,0.5,ga,3,321219.4091
8,8,20,9.0,0.5,ga,4,321219.4091
8,8,20,9.0,0.5,ga,5,321219.4091
8,8,20,9.0,0.5,ga,6,320728.3177
8,8,20,9.0,0.5,ga,7,320728.3177
8,8,20,9.0,0.5,ga,8,320728.3177
8,8,20,9.0,0.5,ga,9,320728.3177
8,8,20,9.0,0.5,ga,10,320728.3177
8,8,20,9.0,0.5,ga,11,320728.3177
8,8,20,9.0,0.5,ga,12,320728.3177
8,8,20,9.0,0.5,ga,13,320728.3177
8,8,20,9.0,0.5,ga,14,320728.3177
8,8,20,9.0,0.5,ga,15,320728.3177
8,8,20,9.0,0.5,ga,16,320728.3177
8,8,20,9.0,0.5,ga,17,320728.3177
8,8,20,9.0,0.5,ga,18,320728.3177
8,8,20,9.0,0.5,ga,19,320728.3177
8,8,20,9.0,0.5,ga,20,320728.3177
15,15,10,0.0,0.1,qpso,0,258711.4079
15,15,10,0.0,0.1,qpso,1,258661.5782
15,15,10,0.0,0.1,qpso,2,258381.0541
15,15,10,0.0,0.1,qpso,3,258381.0541
15,15,10,0.0,0.1,qpso,4,258169.1453
15,15,10,0.0,0.1,qpso,5,258169.1453
15,15,10,0.0,0.1,qpso,6,258169.1453
15,15,10,0.0,0.1,qpso,7,258169.1453
15,15,10,0.0,0.1,qpso,8,258169.1453
15,15,10,0.0,0.1,qpso,9,258169.1453
15,15,10,0.0,0.1,qpso,10,258169.1453
15,15,10,0.0,0.1,qpso,11,258169.1453
15,15,10,0.0,0.1,qpso,12,258084.3223
15,15,10,0.0,0.1,qpso,13,258084.3223
15,15,10,0.0,0.1,qpso,14,258040.4132
15,15,10,0.0,0.1,qpso,15,257990.7931
15,15,10,0.0,0.1,qpso,16,257965.3167
15,15,10,0.0,0.1,qpso,17,257965.3167
15,15,10,0.0,0.1,qpso,18,257965.3167
